Thu Feb 28 2019 12:31:29 GMT+0100 (CET),Core System,ALL_MODULES_STARTED,undefined
Thu Feb 28 2019 12:31:29 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-TTS-en,Welcome to the smart mirror!
Thu Feb 28 2019 12:31:29 GMT+0100 (CET),currentweather,CURRENTWEATHER_DATA,[object Object]
Thu Feb 28 2019 12:31:29 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,none
Thu Feb 28 2019 12:31:29 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,HIDEALL
Thu Feb 28 2019 12:31:29 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-object-detectionSetFPS,1
Thu Feb 28 2019 12:31:29 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-facerecognitionSetFPS,5
Thu Feb 28 2019 12:31:29 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-gesture-recognitionSetFPS,5
Thu Feb 28 2019 12:31:31 GMT+0100 (CET),calendar,CALENDAR_EVENTS,
Thu Feb 28 2019 12:31:46 GMT+0100 (CET),smartmirror-facerecognition,FACE_REC_IDS,0,0
Thu Feb 28 2019 12:31:54 GMT+0100 (CET),smartmirror-facerecognition,FACE_REC_IDS,8,0
Thu Feb 28 2019 12:32:23 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,menu
Thu Feb 28 2019 12:32:23 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,menu
Thu Feb 28 2019 12:32:24 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,camera
Thu Feb 28 2019 12:32:24 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,camera
Thu Feb 28 2019 12:32:25 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,image
Thu Feb 28 2019 12:32:25 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,TOGGLE
Thu Feb 28 2019 12:32:27 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,face
Thu Feb 28 2019 12:32:27 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,FACE
Thu Feb 28 2019 12:32:27 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-facerecognitionSetFPS,30
Thu Feb 28 2019 12:32:31 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"flat_right","center":[0.4375,0.55556]}
Thu Feb 28 2019 12:32:34 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,objects
Thu Feb 28 2019 12:32:34 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,OBJECT
Thu Feb 28 2019 12:32:34 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-object-detectionSetFPS,30
Thu Feb 28 2019 12:32:37 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,face
Thu Feb 28 2019 12:32:37 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,FACE
Thu Feb 28 2019 12:32:37 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-facerecognitionSetFPS,5
Thu Feb 28 2019 12:32:38 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,face
Thu Feb 28 2019 12:32:38 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,FACE
Thu Feb 28 2019 12:32:38 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-facerecognitionSetFPS,30
Thu Feb 28 2019 12:32:40 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,gesture
Thu Feb 28 2019 12:32:40 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,GESTURE
Thu Feb 28 2019 12:32:40 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-gesture-recognitionSetFPS,30
Thu Feb 28 2019 12:32:44 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,gesture
Thu Feb 28 2019 12:32:44 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,GESTURE
Thu Feb 28 2019 12:32:44 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-gesture-recognitionSetFPS,5
Thu Feb 28 2019 12:32:46 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"flat_right","center":[0.46875,0.55556]}
Thu Feb 28 2019 12:32:47 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"flat_right","center":[0.4375,0.61111]}
Thu Feb 28 2019 12:32:51 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,gesture
Thu Feb 28 2019 12:32:51 GMT+0100 (CET),smartmirror-decision-maker,CENTER_DISPLAY,GESTURE
Thu Feb 28 2019 12:32:51 GMT+0100 (CET),smartmirror-decision-maker,smartmirror-gesture-recognitionSetFPS,30
Thu Feb 28 2019 12:32:52 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"flat_right","center":[0.5,0.5]}
Thu Feb 28 2019 12:32:53 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"flat_right","center":[0.4375,0.5]}
Thu Feb 28 2019 12:32:54 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"flat_right","center":[0.4375,0.5]}
Thu Feb 28 2019 12:32:54 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"flat_right","center":[0.4375,0.5]}
Thu Feb 28 2019 12:32:57 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"one_right","center":[0.46875,0.61111]}
Thu Feb 28 2019 12:32:57 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU_SELECT,0.46875
Thu Feb 28 2019 12:32:57 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"one_right","center":[0.46875,0.61111]}
Thu Feb 28 2019 12:32:57 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU_SELECT,0.46875
Thu Feb 28 2019 12:32:58 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"one_right","center":[0.46875,0.61111]}
Thu Feb 28 2019 12:32:58 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU_SELECT,0.46875
Thu Feb 28 2019 12:32:59 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"three_thumb_right","center":[0.46875,0.55556]}
Thu Feb 28 2019 12:33:16 GMT+0100 (CET),smartmirror-gesture-recognition,GESTURE_DETECTED,{"name":"scissors_right","center":[0.9375,0.33333]}
Thu Feb 28 2019 12:33:24 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,close
Thu Feb 28 2019 12:33:24 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,none
Thu Feb 28 2019 12:33:25 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,menu
Thu Feb 28 2019 12:33:25 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,menu
Thu Feb 28 2019 12:33:27 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,camera
Thu Feb 28 2019 12:33:27 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,camera
Thu Feb 28 2019 12:33:29 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,close
Thu Feb 28 2019 12:33:29 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,none
Thu Feb 28 2019 12:33:30 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,menu
Thu Feb 28 2019 12:33:30 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,menu
Thu Feb 28 2019 12:33:31 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,applications
Thu Feb 28 2019 12:33:31 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,application
Thu Feb 28 2019 12:33:34 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,crypto
Thu Feb 28 2019 12:33:41 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,transportation
Thu Feb 28 2019 12:33:42 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,transportation
Thu Feb 28 2019 12:33:49 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,clock
Thu Feb 28 2019 12:33:51 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,clock
Thu Feb 28 2019 12:33:54 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,soccer
Thu Feb 28 2019 12:34:02 GMT+0100 (CET),smartmirror-main-menu,MENU_CLICKED,close
Thu Feb 28 2019 12:34:02 GMT+0100 (CET),smartmirror-decision-maker,MAIN_MENU,none
